BOE	23.410498
BOH	34.90772
BP	63.458508
BPI	15.810869
BPK	15.3429985
BPL	29.10877
BPO	22.073605
BPP	20.504314
BPT	29.119383
BPZ	6.7448244
BQH	14.980541
BQR	13.653819
BR	19.184292
BRC	30.28393
BRE	25.734396
BRF	39.34328
BRFS	38.5845
BRO	29.926996
BRS	21.433533
BRT	10.796774
BRY	20.439308
BSBR	13.292353
BSC	8.520952
BSD	14.395156
BSE	13.828945
BSI	12.10486
BSP	11.962684
BSX	29.495838
BSY	50.26155
BT	59.319065
BTA	11.6937685
BTE	20.659103
BTF	14.182035
BTH	28.57522
BTM	17.468872
BTO	9.937025
BTU	46.009197
BTZ	14.797845
BUD	46.87085
BVF	28.88628
BVN	25.062128
BW	19.120935
BWA	47.217384
BWF	24.23868
BWP	26.646036
BWS	20.450586
BWY	12.052925
BX	15.859668
BXC	8.391158
BXG	5.4754996
BXP	56.129562
BXS	23.80377
BYD	17.721613
BYI	11.605129
BYM	13.98076
BZ	4.7254105
BZA	14.826713
BZH	38.524113
BZMD	24.849445
CA	30.315554
CAB	18.052193
CACI	22.792084
CAE	7.2040515
CAF	36.291023
CAG	31.057676
CAH	52.25605
CAJ	45.890312
CAL	27.736246
CAM	50.93638
CAP	9.99951
CAS	16.438822
CASC	25.795399
CAT	55.37651
CATO	14.273914
CB	60.40375
CBB	9.856426
CBC	17.006079
CBD	27.719755
CBE	40.078526
CBG	28.46654
CBI	24.041395
CBK	15.358169
CBL	30.76578
CBM	23.53676
CBR	14.501192
CBS	21.163475
CBT	33.523342
CBU	24.08369
CBY	33.97176
CBZ	7.225935
CCC	13.852434
CCE	21.28718
CCH	30.253717
CCI	22.44397
CCJ	33.43811
CCK	38.899105
CCL	35.05738
CCM	9.51
CCO	17.914864
CCS	22.060396
CCT	24.169151
CCU	24.192638
CCW	23.736683
CCZ	43.009026
CDE	9.546436
CDI	21.348854
CDR	7.43122
CE	26.287271
CEA	21.258097
CEC	29.153889
CEE	19.749231
CEG	36.420242
CEL	27.706308
CEO	75.639694
CF	63.458996
CFI	9.042405
CFL	28.068258
CFN	23.953718
CFR	37.444088
CFT	98.42032
CFX	13.143049
CGA	11.467922
CGI	13.097002
CGO	14.730806
CGV	19.922234
CGX	34.3573
CHA	42.143738
CHB	13.273238
CHC	11.982142
CHD	31.643673
CHE	32.789272
CHG	31.94796
CHH	28.78007
CHI	16.949532
CHK	19.467754
CHL	40.214725
CHN	19.245445
CHP	19.914213
CHS	21.1208
CHSP	19.015715
CHT	19.191076
CHU	12.156261
CHW	9.280078
CHY	14.540751
CI	72.48582
CIA	7.1927056
CIB	15.4705925
CIE	14.2422495
CIF	5.305872
CIG	24.03186
CII	17.359041
CIM	7.0730577
CIR	25.053097
CIT	31.131819
CIU	99.65452
CIX	13.598125
CJA	50.154243
CJB	50.09556
CJR	24.020102
CJS	74.87938
CJT	75.41662
CKH	53.514996
CKP	15.2252865
CKR	13.112922
CL	44.561073
CLB	41.016632
CLC	26.346102
CLD	14.961404
CLF	37.519104
CLH	16.982353
CLI	31.70541
CLNY	19.887142
CLP	27.25813
CLR	32.332478
CLS	22.394922
CLU	11.66375
CLW	31.988394
CLX	53.910637
CM	47.46219
CMA	46.005337
CMC	26.680243
CME	315.13483
CMG	79.08134
CMI	58.732616
CMK	7.5384107
CML	14.116903
CMM	3.7166755
CMN	13.742869
CMO	17.867887
CMP	38.175266
CMS	21.44538
CMU	6.9555755
CMZ	7.8388047
CN	101.11734
CNA	57.55465
CNC	26.347761
CNH	19.631588
CNI	47.97306
CNK	13.494979
CNL	22.853638
